age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;Probability_Success_%;Model_Prediction
42;technician;married;professional.course;no;no;no;cellular;aug;thu;295;1;6;2;success;-1.7;94.027;-38.3;0.899;4991.6;yes;100.0;1
33;admin.;married;university.degree;no;yes;no;cellular;aug;thu;265;1;3;3;success;-1.7;94.027;-38.3;0.899;4991.6;yes;97.0;1
66;admin.;divorced;university.degree;no;yes;no;cellular;aug;wed;222;3;6;2;success;-1.7;94.027;-38.3;0.903;4991.6;yes;97.0;1
58;blue-collar;married;basic.4y;no;yes;no;cellular;aug;wed;771;1;3;1;success;-1.7;94.027;-38.3;0.9;4991.6;yes;96.0;1
37;admin.;married;university.degree;no;no;no;cellular;sep;wed;265;2;6;2;success;-1.1;94.199;-37.5;0.886;4963.6;yes;96.0;1
76;retired;married;basic.4y;no;yes;no;cellular;may;fri;1205;2;6;2;success;-1.8;93.876;-40.0;0.684;5008.7;yes;96.0;1
21;student;single;basic.9y;no;no;no;cellular;mar;wed;363;1;6;1;success;-1.8;93.369;-34.8;0.655;5008.7;yes;96.0;1
48;unemployed;married;professional.course;no;yes;no;cellular;may;wed;236;1;6;2;success;-1.8;93.876;-40.0;0.682;5008.7;yes;96.0;1
78;retired;divorced;basic.4y;no;yes;no;cellular;may;fri;218;2;7;2;success;-1.8;93.876;-40.0;0.682;5008.7;no;95.0;1
59;retired;married;professional.course;no;yes;no;cellular;aug;fri;303;2;3;2;success;-1.7;94.027;-38.3;0.905;4991.6;yes;95.0;1
34;admin.;single;university.degree;no;no;no;cellular;mar;tue;241;1;6;1;success;-1.8;93.369;-34.8;0.652;5008.7;yes;95.0;1
60;retired;married;university.degree;no;no;no;cellular;sep;thu;529;2;6;1;success;-1.1;94.199;-37.5;0.884;4963.6;yes;95.0;1
26;admin.;single;high.school;no;no;no;cellular;mar;tue;273;2;6;1;success;-1.8;93.369;-34.8;0.652;5008.7;yes;94.0;1
48;admin.;divorced;high.school;no;no;no;cellular;jun;wed;657;1;6;1;success;-1.7;94.055;-39.8;0.704;4991.6;yes;94.0;1
83;retired;divorced;basic.4y;no;no;no;cellular;sep;thu;268;1;9;3;success;-1.1;94.199;-37.5;0.879;4963.6;yes;94.0;1
52;management;married;university.degree;no;no;no;cellular;may;fri;404;2;9;1;success;-1.8;93.876;-40.0;0.684;5008.7;yes;94.0;1
52;admin.;married;university.degree;no;no;no;cellular;may;thu;613;1;3;2;success;-1.8;93.876;-40.0;0.677;5008.7;yes;94.0;1
92;retired;married;unknown;no;no;yes;cellular;aug;wed;370;1;3;4;success;-1.7;94.027;-38.3;0.903;4991.6;yes;94.0;1
48;technician;married;professional.course;no;no;no;cellular;oct;thu;491;1;6;3;success;-1.1;94.601;-49.5;0.987;4963.6;yes;94.0;1
41;services;married;high.school;no;no;no;cellular;mar;wed;396;2;999;0;nonexistent;-1.8;92.843;-50.0;1.778;5099.1;yes;93.0;1
37;management;married;high.school;no;yes;no;cellular;aug;thu;633;1;999;0;nonexistent;-1.7;94.027;-38.3;0.904;4991.6;yes;93.0;1
36;management;married;university.degree;no;no;no;cellular;jun;tue;867;1;3;2;success;-1.7;94.055;-39.8;0.737;4991.6;yes;93.0;1
50;admin.;single;university.degree;no;no;no;cellular;aug;tue;372;1;6;2;success;-1.7;94.027;-38.3;0.904;4991.6;yes;92.0;1
